model,dataset,accuracy
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7792
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7835
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8246
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8182
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8082
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7981
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7993
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.791
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8037
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7945
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7688
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8408
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8431
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8409
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8333
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8401
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8452
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8432
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7797
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7756
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7542
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7893
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.791
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7875
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7828
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7883
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7888
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7786
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8603
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8525
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8595
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8501
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7607
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7583
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7654
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7676
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8463
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8421
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8414
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8463
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8028
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7805
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7897
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7837
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8639
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8607
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8597
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8565
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7668
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7784
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7383
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.7569
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8004
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8249
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8226
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0_test,0.8198
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8275
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8174
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8134
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8085
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.891
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7857
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8026
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7878
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8424
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8512
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8111
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8317
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8285
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7465
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7554
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7576
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.76
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7741
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7729
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8186
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7959
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8119
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7948
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8143
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8003
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8574
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8472
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8537
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8515
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8463
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8477
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8562
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8518
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8529
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8534
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7833
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7967
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7978
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.795
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.788
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7959
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7968
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.779
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.783
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.849
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8558
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8418
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.749
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7611
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7617
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.764
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8576
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8591
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.851
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8569
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8066
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.785
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7958
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7881
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8506
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8525
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8486
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8513
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7524
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7732
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7264
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.7547
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.807
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8351
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8254
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0_test,0.8271
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.4742
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.4264
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.5461
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.4874
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.9039
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8059
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8218
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8185
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8542
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8673
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8158
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8185
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8158
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8103
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.7606
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.7501
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.7999
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_test,0.8127
